Sample #,Start time,Thread name,Label,Sample time (ms),Status,Bytes,Sent bytes,Latency,Connect time(ms)
329,15:20.4,Thread Group 1-75,GET,120239,Warning,408,142,120239,106
330,15:21.4,Thread Group 1-76,GET,120251,Warning,408,142,120251,100
331,15:22.4,Thread Group 1-77,GET,120386,Warning,408,142,120386,102
332,15:23.4,Thread Group 1-78,GET,120205,Warning,408,142,120205,79
333,15:24.4,Thread Group 1-79,GET,120235,Warning,408,142,120235,92
334,15:25.4,Thread Group 1-80,GET,120257,Warning,408,142,120257,79
335,15:26.4,Thread Group 1-81,GET,120276,Warning,408,142,120276,84
336,15:27.4,Thread Group 1-82,GET,120301,Warning,408,142,120301,102
337,15:28.4,Thread Group 1-83,GET,120224,Warning,408,142,120224,103
338,15:29.4,Thread Group 1-84,GET,120254,Warning,408,142,120254,71
339,15:30.4,Thread Group 1-85,GET,120270,Warning,408,142,120270,101
340,15:31.4,Thread Group 1-86,GET,120294,Warning,408,142,120294,74
341,15:32.4,Thread Group 1-87,GET,120322,Warning,408,142,120322,103
342,15:33.4,Thread Group 1-88,GET,120241,Warning,408,142,120241,102
343,15:34.4,Thread Group 1-89,GET,120368,Warning,408,142,120368,81
344,15:35.4,Thread Group 1-90,GET,120293,Warning,408,142,120293,79
345,15:36.4,Thread Group 1-91,GET,120209,Warning,408,142,120209,70
346,15:37.4,Thread Group 1-92,GET,120236,Warning,408,142,120236,102
347,15:38.4,Thread Group 1-93,GET,120261,Warning,408,142,120260,100
348,15:39.4,Thread Group 1-94,GET,120385,Warning,408,142,120385,189
349,15:40.4,Thread Group 1-95,GET,120204,Warning,408,142,120204,99
350,15:41.4,Thread Group 1-96,GET,120228,Warning,408,142,120228,102
351,15:42.4,Thread Group 1-97,GET,120250,Warning,408,142,120250,80
352,15:43.4,Thread Group 1-98,GET,120356,Warning,408,142,120356,202
353,15:44.4,Thread Group 1-99,GET,120197,Warning,408,142,120197,70
354,15:45.4,Thread Group 1-100,GET,120325,Warning,408,142,120324,101
355,17:35.7,Thread Group 1-90,POST save,35871,Success,12694,437,194,73
356,17:38.7,Thread Group 1-93,POST save,32910,Success,12694,437,197,72
357,17:36.6,Thread Group 1-91,POST save,34963,Success,12694,437,187,69
358,17:39.8,Thread Group 1-94,POST save,32027,Success,12694,437,200,81
359,18:11.8,Thread Group 1-94,POST send,2564,Success,12694,372,799,68
360,17:37.7,Thread Group 1-92,POST save,36760,Success,12694,437,198,68
